"Date","Monthly amounts outstanding of M4 (monetary financial institutions' sterling M4 liabilities to private sector) (in sterling millions) seasonally adjusted  						[a] [b] 						LPMAUYN"
"31 May 26","3278498"
"30 Apr 26","3271577"
"31 Mar 26","3271579"
"28 Feb 26","3243073"
"31 Jan 26","3222773"
"31 Dec 25","3224688"
"30 Nov 25","3211540"
"31 Oct 25","3185933"
"30 Sep 25","3192347"
"31 Aug 25","3174836"
"31 Jul 25","3160465"
"30 Jun 25","3156691"
"31 May 25","3146645"
"30 Apr 25","3137089"
"31 Mar 25","3136862"
"28 Feb 25","3132334"
"31 Jan 25","3130783"
"31 Dec 24","3083677"
"30 Nov 24","3083985"
"31 Oct 24","3081510"
"30 Sep 24","3085071"
"31 Aug 24","3069365"
"31 Jul 24","3070160"
"30 Jun 24","3057349"
"31 May 24","3040030"
"30 Apr 24","3041470"
"31 Mar 24","3034224"
"29 Feb 24","3011812"
"31 Jan 24","3000844"
"31 Dec 23","3001067"
"30 Nov 23","2989843"
"31 Oct 23","2990043"
"30 Sep 23","2981567"
"31 Aug 23","3023164"
"31 Jul 23","3010001"
"30 Jun 23","3030782"
"31 May 23","3034780"
"30 Apr 23","3027839"
"31 Mar 23","3028679"
"28 Feb 23","3052275"
"31 Jan 23","3072302"
"31 Dec 22","3032458"
"30 Nov 22","3062833"
"31 Oct 22","3111084"
"30 Sep 22","3108699"
"31 Aug 22","3047764"
"31 Jul 22","3041414"
"30 Jun 22","3028507"
"31 May 22","3038265"
"30 Apr 22","3022303"
"31 Mar 22","3021575"
"28 Feb 22","3021915"
"31 Jan 22","2990573"
"31 Dec 21","2985425"
"30 Nov 21","2986709"
"31 Oct 21","2967577"
"30 Sep 21","2948564"
"31 Aug 21","2930819"
"31 Jul 21","2912394"
"30 Jun 21","2912769"
"31 May 21","2892845"
"30 Apr 21","2882565"
"31 Mar 21","2869503"
"28 Feb 21","2852842"
"31 Jan 21","2832564"


