"Date","Monthly amounts outstanding of total sterling consumer credit lending to individuals (in sterling millions) seasonally adjusted  						[a] [b] [c] [d] 						LPMVZRI"
"31 Mar 25","530094"
"28 Feb 25","527143"
"31 Jan 25","523322"
"31 Dec 24","518991"
"30 Nov 24","515363"
"31 Oct 24","512358"
"30 Sep 24","509662"
"31 Aug 24","505946"
"31 Jul 24","502088"
"30 Jun 24","498695"
"31 May 24","494615"
"30 Apr 24","489871"
"31 Mar 24","484592"
"29 Feb 24","480142"
"31 Jan 24","476277"
"31 Dec 23","471732"
"30 Nov 23","470616"
"31 Oct 23","466055"
"30 Sep 23","462473"
"31 Aug 23","458378"
"31 Jul 23","454404"
"30 Jun 23","450993"
"31 May 23","446529"
"30 Apr 23","443555"
"31 Mar 23","439715"
"28 Feb 23","435914"
"31 Jan 23","432190"
"31 Dec 22","427582"
"30 Nov 22","425513"
"31 Oct 22","422540"
"30 Sep 22","419964"
"31 Aug 22","417341"
"31 Jul 22","414884"
"30 Jun 22","411542"
"31 May 22","408544"
"30 Apr 22","405606"
"31 Mar 22","402242"
"28 Feb 22","399360"
"31 Jan 22","396202"
"31 Dec 21","393941"
"30 Nov 21","391968"
"31 Oct 21","389501"
"30 Sep 21","388725"
"31 Aug 21","386820"
"31 Jul 21","384741"
"30 Jun 21","382227"
"31 May 21","380464"
"30 Apr 21","377742"
"31 Mar 21","377374"
"28 Feb 21","375935"
"31 Jan 21","377518"


