"Date","Spot exchange rate, US $ into Sterling  						[a] [a] [a] 						XUDLUSS"
"23 Jul 26","1.332"
"22 Jul 26","1.3375"
"21 Jul 26","1.3372"
"20 Jul 26","1.344"
"17 Jul 26","1.3446"
"16 Jul 26","1.3489"
"15 Jul 26","1.3479"
"14 Jul 26","1.3405"
"13 Jul 26","1.3379"
"10 Jul 26","1.341"
"09 Jul 26","1.3391"
"08 Jul 26","1.3373"
"07 Jul 26","1.3379"
"06 Jul 26","1.3356"
"03 Jul 26","1.3356"
"02 Jul 26","1.3376"
"01 Jul 26","1.3278"
"30 Jun 26","1.3273"
"29 Jun 26","1.3245"
"26 Jun 26","1.3197"
"25 Jun 26","1.3202"
"24 Jun 26","1.3148"
"23 Jun 26","1.3201"
"22 Jun 26","1.3262"
"19 Jun 26","1.3231"
"18 Jun 26","1.3253"
"17 Jun 26","1.3394"
"16 Jun 26","1.3428"
"15 Jun 26","1.3441"
"12 Jun 26","1.3413"
"11 Jun 26","1.3328"
"10 Jun 26","1.3402"
"09 Jun 26","1.3398"
"08 Jun 26","1.3344"
"05 Jun 26","1.3387"
"04 Jun 26","1.3445"
"03 Jun 26","1.3437"
"02 Jun 26","1.3472"
"01 Jun 26","1.3437"
"29 May 26","1.3478"
"28 May 26","1.3432"
"27 May 26","1.3419"
"26 May 26","1.345"
"22 May 26","1.3435"
"21 May 26","1.3412"
"20 May 26","1.3433"
"19 May 26","1.3393"
"18 May 26","1.3394"
"15 May 26","1.3345"
"14 May 26","1.3485"
"13 May 26","1.3514"
"12 May 26","1.3525"
"11 May 26","1.3639"
"08 May 26","1.3626"
"07 May 26","1.3631"
"06 May 26","1.3603"
"05 May 26","1.3565"
"01 May 26","1.3624"
"30 Apr 26","1.3582"
"29 Apr 26","1.3501"
"28 Apr 26","1.3498"
"27 Apr 26","1.3556"
"24 Apr 26","1.35"
"23 Apr 26","1.351"
"22 Apr 26","1.3499"
"21 Apr 26","1.3509"
"20 Apr 26","1.3524"
"17 Apr 26","1.357"
"16 Apr 26","1.3522"
"15 Apr 26","1.3569"
"14 Apr 26","1.3588"
"13 Apr 26","1.3461"
"10 Apr 26","1.3461"
"09 Apr 26","1.3415"
"08 Apr 26","1.3449"
"07 Apr 26","1.3247"
"02 Apr 26","1.3244"
"01 Apr 26","1.3334"
"31 Mar 26","1.3188"
"30 Mar 26","1.3198"
"27 Mar 26","1.3291"
"26 Mar 26","1.3351"
"25 Mar 26","1.3372"
"24 Mar 26","1.3382"
"23 Mar 26","1.3385"
"20 Mar 26","1.3302"
"19 Mar 26","1.3359"
"18 Mar 26","1.3323"
"17 Mar 26","1.3343"
"16 Mar 26","1.3302"
"13 Mar 26","1.3239"
"12 Mar 26","1.3349"
"11 Mar 26","1.3398"
"10 Mar 26","1.3458"
"09 Mar 26","1.3393"
"06 Mar 26","1.336"
"05 Mar 26","1.3323"
"04 Mar 26","1.3365"
"03 Mar 26","1.3302"
"02 Mar 26","1.3371"
"27 Feb 26","1.3443"
"26 Feb 26","1.3515"
"25 Feb 26","1.3534"
"24 Feb 26","1.3515"
"23 Feb 26","1.3494"
"20 Feb 26","1.3501"
"19 Feb 26","1.3454"
"18 Feb 26","1.3545"
"17 Feb 26","1.3503"
"16 Feb 26","1.3633"
"13 Feb 26","1.3612"
"12 Feb 26","1.3654"
"11 Feb 26","1.3633"
"10 Feb 26","1.3674"
"09 Feb 26","1.3678"
"06 Feb 26","1.3615"
"05 Feb 26","1.3528"
"04 Feb 26","1.3664"
"03 Feb 26","1.3703"
"02 Feb 26","1.3628"
"30 Jan 26","1.372"
"29 Jan 26","1.3764"
"28 Jan 26","1.379"
"27 Jan 26","1.3751"
"26 Jan 26","1.3708"
"23 Jan 26","1.3564"
"22 Jan 26","1.3478"
"21 Jan 26","1.3428"
"20 Jan 26","1.3457"
"19 Jan 26","1.3422"
"16 Jan 26","1.3378"
"15 Jan 26","1.3387"
"14 Jan 26","1.3457"
"13 Jan 26","1.3442"
"12 Jan 26","1.3475"
"09 Jan 26","1.3419"
"08 Jan 26","1.3442"
"07 Jan 26","1.3481"
"06 Jan 26","1.3507"
"05 Jan 26","1.3503"
"02 Jan 26","1.3497"
"31 Dec 25","1.3451"
"30 Dec 25","1.3473"
"29 Dec 25","1.35"
"24 Dec 25","1.3507"
"23 Dec 25","1.3484"
"22 Dec 25","1.3454"
"19 Dec 25","1.3362"
"18 Dec 25","1.3395"
"17 Dec 25","1.34"
"16 Dec 25","1.3417"
"15 Dec 25","1.3394"
"12 Dec 25","1.3355"
"11 Dec 25","1.3435"
"10 Dec 25","1.3321"
"09 Dec 25","1.3297"
"08 Dec 25","1.3312"
"05 Dec 25","1.3343"
"04 Dec 25","1.3373"
"03 Dec 25","1.3331"
"02 Dec 25","1.3201"
"01 Dec 25","1.3252"
"28 Nov 25","1.3252"
"27 Nov 25","1.3252"
"26 Nov 25","1.3226"
"25 Nov 25","1.3177"
"24 Nov 25","1.3098"
"21 Nov 25","1.3085"
"20 Nov 25","1.3096"
"19 Nov 25","1.308"
"18 Nov 25","1.3144"
"17 Nov 25","1.3177"
"14 Nov 25","1.314"
"13 Nov 25","1.3199"
"12 Nov 25","1.313"
"11 Nov 25","1.3173"
"10 Nov 25","1.3148"
"07 Nov 25","1.3152"
"06 Nov 25","1.3102"
"05 Nov 25","1.3042"
"04 Nov 25","1.3046"
"03 Nov 25","1.3146"
"31 Oct 25","1.3139"
"30 Oct 25","1.3147"
"29 Oct 25","1.3241"
"28 Oct 25","1.3278"
"27 Oct 25","1.3329"
"24 Oct 25","1.3301"
"23 Oct 25","1.3322"
"22 Oct 25","1.3355"
"21 Oct 25","1.3373"
"20 Oct 25","1.3416"
"17 Oct 25","1.3392"
"16 Oct 25","1.3434"
"15 Oct 25","1.3365"
"14 Oct 25","1.3297"
"13 Oct 25","1.3327"
"10 Oct 25","1.3302"
"09 Oct 25","1.3333"
"08 Oct 25","1.3421"
"07 Oct 25","1.3431"
"06 Oct 25","1.348"
"03 Oct 25","1.3472"
"02 Oct 25","1.3421"
"01 Oct 25","1.3507"
"30 Sep 25","1.3462"
"29 Sep 25","1.3419"
"26 Sep 25","1.3402"
"25 Sep 25","1.3348"
"24 Sep 25","1.3451"
"23 Sep 25","1.3525"
"22 Sep 25","1.3495"
"19 Sep 25","1.3483"
"18 Sep 25","1.3552"
"17 Sep 25","1.3659"
"16 Sep 25","1.3657"
"15 Sep 25","1.359"
"12 Sep 25","1.3559"
"11 Sep 25","1.3557"
"10 Sep 25","1.3551"
"09 Sep 25","1.354"
"08 Sep 25","1.3535"
"05 Sep 25","1.352"
"04 Sep 25","1.3427"
"03 Sep 25","1.3434"
"02 Sep 25","1.3397"
"01 Sep 25","1.3548"
"29 Aug 25","1.3509"
"28 Aug 25","1.3511"
"27 Aug 25","1.346"
"26 Aug 25","1.3479"
"22 Aug 25","1.3525"
"21 Aug 25","1.3427"
"20 Aug 25","1.3472"
"19 Aug 25","1.3503"
"18 Aug 25","1.3516"
"15 Aug 25","1.356"
"14 Aug 25","1.3556"
"13 Aug 25","1.3572"
"12 Aug 25","1.3489"
"11 Aug 25","1.3408"
"08 Aug 25","1.3439"
"07 Aug 25","1.3404"
"06 Aug 25","1.3331"
"05 Aug 25","1.329"
"04 Aug 25","1.3294"
"01 Aug 25","1.3263"
"31 Jul 25","1.3232"
"30 Jul 25","1.3291"
"29 Jul 25","1.3328"
"28 Jul 25","1.3412"
"25 Jul 25","1.343"
"24 Jul 25","1.3542"
"23 Jul 25","1.356"
"22 Jul 25","1.3501"
"21 Jul 25","1.3493"
"18 Jul 25","1.3442"
"17 Jul 25","1.341"
"16 Jul 25","1.3392"
"15 Jul 25","1.3397"
"14 Jul 25","1.3447"
"11 Jul 25","1.3505"
"10 Jul 25","1.3555"
"09 Jul 25","1.3588"
"08 Jul 25","1.3545"
"07 Jul 25","1.3636"
"04 Jul 25","1.3643"
"03 Jul 25","1.3646"
"02 Jul 25","1.3594"
"01 Jul 25","1.3718"
"30 Jun 25","1.3703"
"27 Jun 25","1.3715"
"26 Jun 25","1.3733"
"25 Jun 25","1.3624"
"24 Jun 25","1.3623"
"23 Jun 25","1.3489"
"20 Jun 25","1.3465"
"19 Jun 25","1.3427"
"18 Jun 25","1.3452"
"17 Jun 25","1.3512"
"16 Jun 25","1.3596"
"13 Jun 25","1.3576"
"12 Jun 25","1.3595"
"11 Jun 25","1.3538"
"10 Jun 25","1.3515"
"09 Jun 25","1.3545"
"06 Jun 25","1.3527"
"05 Jun 25","1.3591"
"04 Jun 25","1.3577"
"03 Jun 25","1.3529"
"02 Jun 25","1.3553"
"30 May 25","1.3482"
"29 May 25","1.3483"
"28 May 25","1.3471"
"27 May 25","1.3521"
"23 May 25","1.3496"
"22 May 25","1.3424"
"21 May 25","1.3437"
"20 May 25","1.3369"
"19 May 25","1.3367"
"16 May 25","1.3265"
"15 May 25","1.3279"
"14 May 25","1.3305"
"13 May 25","1.326"
"12 May 25","1.3202"
"09 May 25","1.3305"
"08 May 25","1.331"
"07 May 25","1.3366"
"06 May 25","1.3372"
"02 May 25","1.3321"
"01 May 25","1.3296"
"30 Apr 25","1.3356"
"29 Apr 25","1.3389"
"28 Apr 25","1.3393"
"25 Apr 25","1.3309"
"24 Apr 25","1.3315"
"23 Apr 25","1.3275"
"22 Apr 25","1.3379"
"17 Apr 25","1.3233"
"16 Apr 25","1.3257"
"15 Apr 25","1.3245"
"14 Apr 25","1.3187"
"11 Apr 25","1.3059"
"10 Apr 25","1.296"
"09 Apr 25","1.2757"
"08 Apr 25","1.2757"
"07 Apr 25","1.2755"
"04 Apr 25","1.294"
"03 Apr 25","1.3168"
"02 Apr 25","1.2966"
"01 Apr 25","1.2923"
"31 Mar 25","1.291"
"28 Mar 25","1.2941"
"27 Mar 25","1.2963"
"26 Mar 25","1.2887"
"25 Mar 25","1.2948"
"24 Mar 25","1.2911"
"21 Mar 25","1.2893"
"20 Mar 25","1.2972"
"19 Mar 25","1.2967"
"18 Mar 25","1.2985"
"17 Mar 25","1.2985"
"14 Mar 25","1.2915"
"13 Mar 25","1.2943"
"12 Mar 25","1.2968"
"11 Mar 25","1.2946"
"10 Mar 25","1.2904"
"07 Mar 25","1.2924"
"06 Mar 25","1.2891"
"05 Mar 25","1.2868"
"04 Mar 25","1.2716"
"03 Mar 25","1.2699"
"28 Feb 25","1.2592"
"27 Feb 25","1.2628"
"26 Feb 25","1.2695"
"25 Feb 25","1.2655"
"24 Feb 25","1.2621"
"21 Feb 25","1.2638"
"20 Feb 25","1.2641"
"19 Feb 25","1.259"
"18 Feb 25","1.2615"
"17 Feb 25","1.2607"
"14 Feb 25","1.2618"
"13 Feb 25","1.2523"
"12 Feb 25","1.2434"
"11 Feb 25","1.2406"
"10 Feb 25","1.239"
"07 Feb 25","1.2424"
"06 Feb 25","1.2414"
"05 Feb 25","1.2518"
"04 Feb 25","1.2477"
"03 Feb 25","1.2412"
"31 Jan 25","1.2426"
"30 Jan 25","1.2467"
"29 Jan 25","1.2434"
"28 Jan 25","1.2432"
"27 Jan 25","1.2473"
"24 Jan 25","1.2484"
"23 Jan 25","1.2324"
"22 Jan 25","1.2318"
"21 Jan 25","1.2299"
"20 Jan 25","1.2293"
"17 Jan 25","1.2198"
"16 Jan 25","1.2235"
"15 Jan 25","1.2258"
"14 Jan 25","1.2201"
"13 Jan 25","1.2152"
"10 Jan 25","1.223"
"09 Jan 25","1.2303"
"08 Jan 25","1.2342"
"07 Jan 25","1.2498"
"06 Jan 25","1.2508"
"03 Jan 25","1.2404"
"02 Jan 25","1.2375"
"31 Dec 24","1.2529"
"30 Dec 24","1.2511"
"27 Dec 24","1.2577"
"24 Dec 24","1.2539"
"23 Dec 24","1.2519"
"20 Dec 24","1.2541"
"19 Dec 24","1.2551"
"18 Dec 24","1.2693"
"17 Dec 24","1.2711"
"16 Dec 24","1.2691"
"13 Dec 24","1.2614"
"12 Dec 24","1.269"
"11 Dec 24","1.2744"
"10 Dec 24","1.2738"
"09 Dec 24","1.2796"
"06 Dec 24","1.2743"
"05 Dec 24","1.2757"
"04 Dec 24","1.2708"
"03 Dec 24","1.2662"
"02 Dec 24","1.2629"
"29 Nov 24","1.2708"
"28 Nov 24","1.2682"
"27 Nov 24","1.2677"
"26 Nov 24","1.2563"
"25 Nov 24","1.2551"
"22 Nov 24","1.2527"
"21 Nov 24","1.2618"
"20 Nov 24","1.2653"
"19 Nov 24","1.2665"
"18 Nov 24","1.264"
"15 Nov 24","1.2629"
"14 Nov 24","1.2708"
"13 Nov 24","1.2724"
"12 Nov 24","1.2764"
"11 Nov 24","1.287"
"08 Nov 24","1.2939"
"07 Nov 24","1.2996"
"06 Nov 24","1.289"
"05 Nov 24","1.3002"
"04 Nov 24","1.2981"
"01 Nov 24","1.296"
"31 Oct 24","1.2856"
"30 Oct 24","1.3012"
"29 Oct 24","1.3005"
"28 Oct 24","1.2981"
"25 Oct 24","1.2991"
"24 Oct 24","1.2961"
"23 Oct 24","1.2948"
"22 Oct 24","1.2975"
"21 Oct 24","1.3002"
"18 Oct 24","1.3036"
"17 Oct 24","1.2997"
"16 Oct 24","1.3009"
"15 Oct 24","1.3094"
"14 Oct 24","1.3057"
"11 Oct 24","1.3075"
"10 Oct 24","1.3049"
"09 Oct 24","1.3072"
"08 Oct 24","1.3093"
"07 Oct 24","1.3079"
"04 Oct 24","1.3113"
"03 Oct 24","1.3108"
"02 Oct 24","1.3251"
"01 Oct 24","1.3289"
"30 Sep 24","1.3413"
"27 Sep 24","1.3408"
"26 Sep 24","1.3396"
"25 Sep 24","1.3375"
"24 Sep 24","1.339"
"23 Sep 24","1.335"
"20 Sep 24","1.3281"
"19 Sep 24","1.325"
"18 Sep 24","1.3212"
"17 Sep 24","1.3188"
"16 Sep 24","1.32"
"13 Sep 24","1.3155"
"12 Sep 24","1.3079"
"11 Sep 24","1.3015"
"10 Sep 24","1.3057"
"09 Sep 24","1.3079"
"06 Sep 24","1.316"
"05 Sep 24","1.3158"
"04 Sep 24","1.3161"
"03 Sep 24","1.3095"
"02 Sep 24","1.3152"
"30 Aug 24","1.3144"
"29 Aug 24","1.3155"
"28 Aug 24","1.3213"
"27 Aug 24","1.3235"
"23 Aug 24","1.3189"
"22 Aug 24","1.3103"
"21 Aug 24","1.3061"
"20 Aug 24","1.3031"
"19 Aug 24","1.2986"
"16 Aug 24","1.289"
"15 Aug 24","1.2853"
"14 Aug 24","1.2856"
"13 Aug 24","1.2824"
"12 Aug 24","1.2785"
"09 Aug 24","1.2764"
"08 Aug 24","1.2715"
"07 Aug 24","1.2721"
"06 Aug 24","1.2706"
"05 Aug 24","1.2759"
"02 Aug 24","1.2807"
"01 Aug 24","1.2793"
"31 Jul 24","1.2844"
"30 Jul 24","1.2828"
"29 Jul 24","1.2847"
"26 Jul 24","1.2853"
"25 Jul 24","1.2877"
"24 Jul 24","1.2918"
"23 Jul 24","1.2908"
"22 Jul 24","1.2913"
"19 Jul 24","1.2917"
"18 Jul 24","1.2978"
"17 Jul 24","1.3014"
"16 Jul 24","1.2948"
"15 Jul 24","1.2984"
"12 Jul 24","1.2989"
"11 Jul 24","1.2924"
"10 Jul 24","1.283"
"09 Jul 24","1.2797"
"08 Jul 24","1.2833"
"05 Jul 24","1.2798"
"04 Jul 24","1.2762"
"03 Jul 24","1.2762"
"02 Jul 24","1.2676"
"01 Jul 24","1.2647"
"28 Jun 24","1.2642"
"27 Jun 24","1.2651"
"26 Jun 24","1.2623"
"25 Jun 24","1.2672"
"24 Jun 24","1.2688"
"21 Jun 24","1.2626"
"20 Jun 24","1.2686"
"19 Jun 24","1.2732"
"18 Jun 24","1.269"
"17 Jun 24","1.268"
"14 Jun 24","1.2667"
"13 Jun 24","1.2767"
"12 Jun 24","1.2843"
"11 Jun 24","1.2712"
"10 Jun 24","1.2717"
"07 Jun 24","1.2724"
"06 Jun 24","1.2773"
"05 Jun 24","1.276"
"04 Jun 24","1.278"
"03 Jun 24","1.2772"
"31 May 24","1.2731"
"30 May 24","1.2739"
"29 May 24","1.2715"
"28 May 24","1.2777"
"24 May 24","1.2738"
"23 May 24","1.2712"
"22 May 24","1.2724"
"21 May 24","1.2723"
"20 May 24","1.2708"
"17 May 24","1.2698"
"16 May 24","1.2668"
"15 May 24","1.2649"
"14 May 24","1.2589"
"13 May 24","1.2563"
"10 May 24","1.2508"
"09 May 24","1.2512"
"08 May 24","1.2493"
"07 May 24","1.2554"
"03 May 24","1.2546"
"02 May 24","1.2485"
"01 May 24","1.2492"
"30 Apr 24","1.252"
"29 Apr 24","1.2548"
"26 Apr 24","1.2462"
"25 Apr 24","1.2489"
"24 Apr 24","1.2433"
"23 Apr 24","1.2433"
"22 Apr 24","1.2331"
"19 Apr 24","1.2434"
"18 Apr 24","1.2444"
"17 Apr 24","1.245"
"16 Apr 24","1.2442"
"15 Apr 24","1.2451"
"12 Apr 24","1.2435"
"11 Apr 24","1.252"
"10 Apr 24","1.2566"
"09 Apr 24","1.2675"
"08 Apr 24","1.2647"
"05 Apr 24","1.2615"
"04 Apr 24","1.2668"
"03 Apr 24","1.2619"
"02 Apr 24","1.2567"
"28 Mar 24","1.2632"
"27 Mar 24","1.2629"
"26 Mar 24","1.2628"
"25 Mar 24","1.2645"
"22 Mar 24","1.2601"
"21 Mar 24","1.2668"
"20 Mar 24","1.2711"
"19 Mar 24","1.2711"
"18 Mar 24","1.2733"
"15 Mar 24","1.274"
"14 Mar 24","1.2747"
"13 Mar 24","1.2797"
"12 Mar 24","1.2784"
"11 Mar 24","1.2805"
"08 Mar 24","1.2881"
"07 Mar 24","1.2789"
"06 Mar 24","1.2743"
"05 Mar 24","1.2732"
"04 Mar 24","1.2698"
"01 Mar 24","1.2652"
"29 Feb 24","1.265"
"28 Feb 24","1.2653"
"27 Feb 24","1.2683"
"26 Feb 24","1.2684"
"23 Feb 24","1.2677"
"22 Feb 24","1.2621"
"21 Feb 24","1.2612"
"20 Feb 24","1.2662"
"19 Feb 24","1.2587"
"16 Feb 24","1.2584"
"15 Feb 24","1.2585"
"14 Feb 24","1.2549"
"13 Feb 24","1.2601"
"12 Feb 24","1.2615"
"09 Feb 24","1.2632"
"08 Feb 24","1.2605"
"07 Feb 24","1.2632"
"06 Feb 24","1.2577"
"05 Feb 24","1.2521"
"02 Feb 24","1.2657"
"01 Feb 24","1.2682"
"31 Jan 24","1.2733"
"30 Jan 24","1.2666"
"29 Jan 24","1.2678"
"26 Jan 24","1.2723"
"25 Jan 24","1.27"
"24 Jan 24","1.2753"
"23 Jan 24","1.2666"
"22 Jan 24","1.2721"
"19 Jan 24","1.268"
"18 Jan 24","1.2672"
"17 Jan 24","1.2658"
"16 Jan 24","1.2665"
"15 Jan 24","1.2731"
"12 Jan 24","1.2761"
"11 Jan 24","1.2714"
"10 Jan 24","1.2736"
"09 Jan 24","1.2704"
"08 Jan 24","1.275"
"05 Jan 24","1.2752"
"04 Jan 24","1.2699"
"03 Jan 24","1.2628"
"02 Jan 24","1.2625"
"29 Dec 23","1.2747"
"28 Dec 23","1.277"
"27 Dec 23","1.2789"
"22 Dec 23","1.2716"
"21 Dec 23","1.2656"
"20 Dec 23","1.2668"
"19 Dec 23","1.2739"
"18 Dec 23","1.2645"
"15 Dec 23","1.2699"
"14 Dec 23","1.276"
"13 Dec 23","1.2526"
"12 Dec 23","1.2561"
"11 Dec 23","1.2551"
"08 Dec 23","1.2547"
"07 Dec 23","1.2574"
"06 Dec 23","1.2593"
"05 Dec 23","1.2613"
"04 Dec 23","1.2612"
"01 Dec 23","1.2635"
"30 Nov 23","1.2656"
"29 Nov 23","1.2697"
"28 Nov 23","1.2683"
"27 Nov 23","1.2607"
"24 Nov 23","1.2608"
"23 Nov 23","1.2531"
"22 Nov 23","1.246"
"21 Nov 23","1.2533"
"20 Nov 23","1.2493"
"17 Nov 23","1.2433"
"16 Nov 23","1.2444"
"15 Nov 23","1.2444"
"14 Nov 23","1.2455"
"13 Nov 23","1.2253"
"10 Nov 23","1.2198"
"09 Nov 23","1.2287"
"08 Nov 23","1.2296"
"07 Nov 23","1.2305"
"06 Nov 23","1.2397"
"03 Nov 23","1.2373"
"02 Nov 23","1.2173"
"01 Nov 23","1.2126"
"31 Oct 23","1.2134"
"30 Oct 23","1.2156"
"27 Oct 23","1.2141"
"26 Oct 23","1.2121"
"25 Oct 23","1.2144"
"24 Oct 23","1.2178"
"23 Oct 23","1.2208"
"20 Oct 23","1.215"
"19 Oct 23","1.2143"
"18 Oct 23","1.2146"
"17 Oct 23","1.2182"
"16 Oct 23","1.2189"
"13 Oct 23","1.2141"
"12 Oct 23","1.2214"
"11 Oct 23","1.2312"
"10 Oct 23","1.2257"
"09 Oct 23","1.221"
"06 Oct 23","1.2188"
"05 Oct 23","1.216"
"04 Oct 23","1.2115"
"03 Oct 23","1.208"
"02 Oct 23","1.2122"
"29 Sep 23","1.2207"
"28 Sep 23","1.2198"
"27 Sep 23","1.213"
"26 Sep 23","1.2168"
"25 Sep 23","1.2198"
"22 Sep 23","1.2265"
"21 Sep 23","1.2288"
"20 Sep 23","1.2398"
"19 Sep 23","1.2402"
"18 Sep 23","1.238"
"15 Sep 23","1.2395"
"14 Sep 23","1.2415"
"13 Sep 23","1.249"
"12 Sep 23","1.2466"
"11 Sep 23","1.2529"
"08 Sep 23","1.2485"
"07 Sep 23","1.2476"
"06 Sep 23","1.2491"
"05 Sep 23","1.2554"
"04 Sep 23","1.2618"
"01 Sep 23","1.2619"
"31 Aug 23","1.2673"
"30 Aug 23","1.2727"
"29 Aug 23","1.2589"
"25 Aug 23","1.2554"
"24 Aug 23","1.2648"
"23 Aug 23","1.2683"
"22 Aug 23","1.2732"
"21 Aug 23","1.2727"
"18 Aug 23","1.2716"
"17 Aug 23","1.2757"
"16 Aug 23","1.2753"
"15 Aug 23","1.2745"
"14 Aug 23","1.2661"
"11 Aug 23","1.2713"
"10 Aug 23","1.2735"
"09 Aug 23","1.2732"
"08 Aug 23","1.2722"
"07 Aug 23","1.2772"
"04 Aug 23","1.2757"
"03 Aug 23","1.2697"
"02 Aug 23","1.2689"
"01 Aug 23","1.2762"
"31 Jul 23","1.2863"
"28 Jul 23","1.2864"
"27 Jul 23","1.2849"
"26 Jul 23","1.2923"
"25 Jul 23","1.2856"
"24 Jul 23","1.2817"
"21 Jul 23","1.2845"
"20 Jul 23","1.2851"
"19 Jul 23","1.2885"
"18 Jul 23","1.3081"
"17 Jul 23","1.3082"
"14 Jul 23","1.3116"
"13 Jul 23","1.3114"
"12 Jul 23","1.2997"
"11 Jul 23","1.2897"
"10 Jul 23","1.2815"
"07 Jul 23","1.2825"
"06 Jul 23","1.2696"
"05 Jul 23","1.2716"
"04 Jul 23","1.2726"
"03 Jul 23","1.2689"
"30 Jun 23","1.2714"
"29 Jun 23","1.2618"
"28 Jun 23","1.2614"
"27 Jun 23","1.2746"
"26 Jun 23","1.2709"
"23 Jun 23","1.2711"
"22 Jun 23","1.2738"
"21 Jun 23","1.2731"
"20 Jun 23","1.2735"
"19 Jun 23","1.2796"
"16 Jun 23","1.2812"
"15 Jun 23","1.2743"
"14 Jun 23","1.2696"
"13 Jun 23","1.2604"
"12 Jun 23","1.251"
"09 Jun 23","1.258"
"08 Jun 23","1.2535"
"07 Jun 23","1.2462"
"06 Jun 23","1.2408"
"05 Jun 23","1.241"
"02 Jun 23","1.2485"
"01 Jun 23","1.2524"
"31 May 23","1.2394"
"30 May 23","1.2411"
"26 May 23","1.2332"
"25 May 23","1.2357"
