series_code,label,candidate_id,model_family,model_name,order,seasonal_order,AIC,BIC,MAE,RMSE,sMAPE_pct,status,fit_warning
LPMAUYN,M4 / monetary aggregate,"sarima_(1, 1, 1)_(0, 1, 1, 12)",SARIMA,"SARIMA(1, 1, 1)×(0, 1, 1, 12)","(1, 1, 1)","(0, 1, 1, 12)",994.1679597004363,999.2003458525222,14505.248802392549,18135.07083250665,0.44972117189447264,success,
LPMAUYN,M4 / monetary aggregate,drift,Drift,Drift,,,,,27810.47574329225,34223.486396372,0.8625541169536165,success,
LPMAUYN,M4 / monetary aggregate,ets_seasonal,ETS seasonal,Seasonal ETS (m=12),,,-518.267487454359,-484.77252492397287,62496.2692949241,73068.4396206389,1.9541234827304084,success,
LPMAUYN,M4 / monetary aggregate,"sarima_(0, 1, 1)_(0, 0, 1, 12)",SARIMA,"SARIMA(0, 1, 1)×(0, 0, 1, 12)","(0, 1, 1)","(0, 0, 1, 12)",-264.6941744508046,-259.78141597162545,67876.41179447726,78994.28052785926,2.1245692552858366,success,Maximum Likelihood optimization failed to converge. Check mle_retvals
LPMAUYN,M4 / monetary aggregate,holt_damped,Holt,Holt damped trend,,,-533.2123920034733,-523.3609324357127,68521.3526705476,79768.05784119683,2.1450466192562057,success,
LPMAUYN,M4 / monetary aggregate,"sarima_(1, 1, 0)_(0, 0, 0, 0)",SARIMA,"SARIMA(1, 1, 0)×(0, 0, 0, 0)","(1, 1, 0)","(0, 0, 0, 0)",-365.7864412384813,-361.92278997303265,68600.74789549065,80197.39857140422,2.147562873559408,success,
LPMAUYN,M4 / monetary aggregate,"sarima_(1, 1, 1)_(0, 0, 0, 0)",SARIMA,"SARIMA(1, 1, 1)×(0, 0, 0, 0)","(1, 1, 1)","(0, 0, 0, 0)",-356.3388699222892,-350.60280090600475,68795.2538231846,80379.17660676019,2.153741572315029,success,
LPMAUYN,M4 / monetary aggregate,"sarima_(0, 1, 1)_(0, 0, 0, 0)",SARIMA,"SARIMA(0, 1, 1)×(0, 0, 0, 0)","(0, 1, 1)","(0, 0, 0, 0)",-358.22726953842044,-354.40322352756414,68868.05618883685,80431.67706269513,2.1560543978405025,success,
LPMAUYN,M4 / monetary aggregate,"sarima_(2, 1, 0)_(0, 0, 0, 0)",SARIMA,"SARIMA(2, 1, 0)×(0, 0, 0, 0)","(2, 1, 0)","(0, 0, 0, 0)",-356.2795049141498,-350.5434358978654,69145.15225677569,80693.04541348552,2.164857531117859,success,
LPMAUYN,M4 / monetary aggregate,"sarima_(0, 1, 2)_(0, 0, 0, 0)",SARIMA,"SARIMA(0, 1, 2)×(0, 0, 0, 0)","(0, 1, 2)","(0, 0, 0, 0)",-348.52081686739206,-342.8453559730602,69192.32299899896,80732.1506768038,2.1663562159409384,success,
LPMAUYN,M4 / monetary aggregate,"sarima_(0, 1, 0)_(0, 0, 0, 0)",SARIMA,"SARIMA(0, 1, 0)×(0, 0, 0, 0)","(0, 1, 0)","(0, 0, 0, 0)",-367.3783179607196,-365.44649232799526,69521.66666666947,80992.02212564141,2.176820601066218,success,
LPMAUYN,M4 / monetary aggregate,naive,Naive,Naïve,,,,,69521.66666666947,80992.02212564141,2.176820601066218,success,
LPMAUYN,M4 / monetary aggregate,"sarima_(1, 1, 0)_(1, 0, 0, 12)",SARIMA,"SARIMA(1, 1, 0)×(1, 0, 0, 12)","(1, 1, 0)","(1, 0, 0, 12)",-276.91228507040177,-271.9216001320128,83020.60147251289,96064.95080143822,2.606883701290673,success,
LPMAUYN,M4 / monetary aggregate,seasonal_naive,Seasonal naive,Seasonal naïve (m=12),,,,,114930.83333333333,116211.31368617564,3.6352140644778057,success,
IUDBEDR,Official Bank Rate,"sarima_(0, 1, 0)_(0, 0, 0, 0)",SARIMA,"SARIMA(0, 1, 0)×(0, 0, 0, 0)","(0, 1, 0)","(0, 0, 0, 0)",-4879.287767811471,-4874.03147057178,0.0,0.0,0.0,success,
IUDBEDR,Official Bank Rate,"sarima_(1, 1, 0)_(0, 0, 0, 0)",SARIMA,"SARIMA(1, 1, 0)×(0, 0, 0, 0)","(1, 1, 0)","(0, 0, 0, 0)",-4877.28779907447,-4866.775204595088,0.0,0.0,0.0,success,
IUDBEDR,Official Bank Rate,"sarima_(0, 1, 1)_(0, 0, 0, 0)",SARIMA,"SARIMA(0, 1, 1)×(0, 0, 0, 0)","(0, 1, 1)","(0, 0, 0, 0)",-4872.843333400961,-4862.332150852453,0.0,0.0,0.0,success,
IUDBEDR,Official Bank Rate,"sarima_(2, 1, 0)_(0, 0, 0, 0)",SARIMA,"SARIMA(2, 1, 0)×(0, 0, 0, 0)","(2, 1, 0)","(0, 0, 0, 0)",-4870.843347640869,-4855.076573818108,0.0,0.0,0.0,success,
IUDBEDR,Official Bank Rate,"sarima_(1, 1, 1)_(0, 0, 0, 0)",SARIMA,"SARIMA(1, 1, 1)×(0, 0, 0, 0)","(1, 1, 1)","(0, 0, 0, 0)",-4870.84333333998,-4855.076559517219,0.0,0.0,0.0,success,
IUDBEDR,Official Bank Rate,"sarima_(0, 1, 2)_(0, 0, 0, 0)",SARIMA,"SARIMA(0, 1, 2)×(0, 0, 0, 0)","(0, 1, 2)","(0, 0, 0, 0)",-4866.399602354937,-4850.634947924705,0.0,0.0,0.0,success,
IUDBEDR,Official Bank Rate,naive,Naive,Naïve,,,,,0.0,0.0,0.0,success,
IUDBEDR,Official Bank Rate,seasonal_naive,Seasonal naive,Seasonal naïve (m=5),,,,,0.0,0.0,0.0,success,
IUDBEDR,Official Bank Rate,holt_damped,Holt,Holt damped trend,,,-8924.530738898742,-8898.242200512941,0.00855452899840894,0.009734107464899945,0.22845823006794724,success,
IUDBEDR,Official Bank Rate,ets_seasonal,ETS seasonal,Seasonal ETS (m=5),,,-8969.447250592531,-8916.870173820931,0.009085141453598237,0.010248695052565935,0.2426443149888526,success,
IUDBEDR,Official Bank Rate,drift,Drift,Drift,,,,,0.03989774330042314,0.04569690353229495,1.0565728765506492,success,
IUDSOIA,SONIA,"sarima_(0, 1, 1)_(0, 0, 0, 0)",SARIMA,"SARIMA(0, 1, 1)×(0, 0, 0, 0)","(0, 1, 1)","(0, 0, 0, 0)",-4885.963162048911,-4875.453392428756,0.0007937136281442362,0.0009361218474009229,0.02127874748895222,success,
IUDSOIA,SONIA,"sarima_(1, 1, 0)_(0, 0, 0, 0)",SARIMA,"SARIMA(1, 1, 0)×(0, 0, 0, 0)","(1, 1, 0)","(0, 0, 0, 0)",-4890.4192906424805,-4879.908108093973,0.0007937144981686739,0.0009361228005264087,0.02127877081646578,success,
IUDSOIA,SONIA,"sarima_(0, 1, 2)_(0, 0, 0, 0)",SARIMA,"SARIMA(0, 1, 2)×(0, 0, 0, 0)","(0, 1, 2)","(0, 0, 0, 0)",-4879.507878848547,-4863.7453453091775,0.0007937852738612694,0.000936208165549287,0.02128066848844669,success,
IUDSOIA,SONIA,"sarima_(2, 1, 0)_(0, 0, 0, 0)",SARIMA,"SARIMA(2, 1, 0)×(0, 0, 0, 0)","(2, 1, 0)","(0, 0, 0, 0)",-4883.963280353246,-4868.198625923013,0.0007937863235693676,0.0009362095094489311,0.02128069663372534,success,
IUDSOIA,SONIA,"sarima_(1, 1, 1)_(0, 0, 0, 0)",SARIMA,"SARIMA(1, 1, 1)×(0, 0, 0, 0)","(1, 1, 1)","(0, 0, 0, 0)",-4883.963170831842,-4868.19851640161,0.000793796406099719,0.0009362227562690478,0.02128096697137332,success,
IUDSOIA,SONIA,"sarima_(0, 1, 0)_(0, 0, 0, 0)",SARIMA,"SARIMA(0, 1, 0)×(0, 0, 0, 0)","(0, 1, 0)","(0, 0, 0, 0)",-4892.410234691039,-4887.154643416785,0.0007966666666666604,0.0009400354603240481,0.021357925844050885,success,
IUDSOIA,SONIA,naive,Naive,Naïve,,,,,0.0007966666666666604,0.0009400354603240481,0.021357925844050885,success,
IUDSOIA,SONIA,seasonal_naive,Seasonal naive,Seasonal naïve (m=5),,,,,0.0013233333333332541,0.001776044293741851,0.03548279264608299,success,
IUDSOIA,SONIA,holt_damped,Holt,Holt damped trend,,,-8934.80472999858,-8908.519716463119,0.008930386903971528,0.010175261833154424,0.23976704881472793,success,
IUDSOIA,SONIA,ets_seasonal,ETS seasonal,Seasonal ETS (m=5),,,-8979.2309647188,-8926.66093764788,0.013160984436077723,0.014206555264064957,0.35353820476383657,success,
IUDSOIA,SONIA,drift,Drift,Drift,,,,,0.03968932015996247,0.04546305891630438,1.0565875042930524,success,
IUMBV34,2-year fixed mortgage rate,"sarima_(1, 1, 0)_(1, 0, 0, 12)",SARIMA,"SARIMA(1, 1, 0)×(1, 0, 0, 12)","(1, 1, 0)","(1, 0, 0, 12)",40.37337434506778,45.44001270740959,0.33800698035028737,0.3908674767512646,7.68644624261881,success,
IUMBV34,2-year fixed mortgage rate,"sarima_(1, 1, 0)_(0, 0, 0, 0)",SARIMA,"SARIMA(1, 1, 0)×(0, 0, 0, 0)","(1, 1, 0)","(0, 0, 0, 0)",35.80919518094682,39.71168261810968,0.3381414760124491,0.3909288975580137,7.689539497923902,success,
IUMBV34,2-year fixed mortgage rate,"sarima_(1, 1, 1)_(0, 0, 0, 0)",SARIMA,"SARIMA(1, 1, 1)×(0, 0, 0, 0)","(1, 1, 1)","(0, 0, 0, 0)",28.67167248307319,34.467149381246166,0.3437472274361569,0.3933480254506344,7.818361032962198,success,
IUMBV34,2-year fixed mortgage rate,"sarima_(0, 1, 2)_(0, 0, 0, 0)",SARIMA,"SARIMA(0, 1, 2)×(0, 0, 0, 0)","(0, 1, 2)","(0, 0, 0, 0)",29.92154796951137,35.657616985795805,0.34676377883514053,0.3942925947897134,7.887503824566058,success,
IUMBV34,2-year fixed mortgage rate,"sarima_(0, 1, 0)_(0, 0, 0, 0)",SARIMA,"SARIMA(0, 1, 0)×(0, 0, 0, 0)","(0, 1, 0)","(0, 0, 0, 0)",44.65170409944992,46.60294781803135,0.3175,0.3951687403291576,7.209750064462228,success,
IUMBV34,2-year fixed mortgage rate,naive,Naive,Naïve,,,,,0.3175,0.3951687403291576,7.209750064462228,success,
IUMBV34,2-year fixed mortgage rate,holt_damped,Holt,Holt damped trend,,,-106.44211652443533,-96.49719629161396,0.3165554588784882,0.39728123823838263,7.187451871523489,success,
IUMBV34,2-year fixed mortgage rate,"sarima_(2, 1, 0)_(0, 0, 0, 0)",SARIMA,"SARIMA(2, 1, 0)×(0, 0, 0, 0)","(2, 1, 0)","(0, 0, 0, 0)",36.36652655945687,42.16200345762985,0.3565101135584651,0.39823125255632674,8.109897725436767,success,Maximum Likelihood optimization failed to converge. Check mle_retvals
IUMBV34,2-year fixed mortgage rate,drift,Drift,Drift,,,,,0.3440408805031448,0.40406951845521644,7.857165116914817,success,
IUMBV34,2-year fixed mortgage rate,"sarima_(0, 1, 1)_(0, 0, 1, 12)",SARIMA,"SARIMA(0, 1, 1)×(0, 0, 1, 12)","(0, 1, 1)","(0, 0, 1, 12)",34.17203377166676,39.1627187100557,0.3761312648398884,0.40952218379141553,8.553053589547712,success,
IUMBV34,2-year fixed mortgage rate,"sarima_(0, 1, 1)_(0, 0, 0, 0)",SARIMA,"SARIMA(0, 1, 1)×(0, 0, 0, 0)","(0, 1, 1)","(0, 0, 0, 0)",30.292229737780243,34.15588100322889,0.3842794267230378,0.4166996188596092,8.735175722048558,success,
