series_code,d,adf_statistic,p_value,observations
LPMAUYN,0,-2.124046157834403,0.23495608313511118,52
LPMAUYN,1,-7.05905729980779,5.281634881354856e-10,51
IUDBEDR,0,-1.8492808254489994,0.35628388844372016,1418
IUDBEDR,1,-37.75078670858423,0.0,1417
IUDSOIA,0,-1.8488133088221286,0.3565104148813882,1417
IUDSOIA,1,-37.64601684893362,0.0,1416
IUMBV34,0,-1.6902341007509987,0.43615105608391475,52
IUMBV34,1,-4.51917427373569,0.00018153407293060403,52
IUMBV42,0,-1.617378229755854,0.4741040565814305,52
IUMBV42,1,-4.7798001117947315,5.943726181639883e-05,52
LPMVZRI,0,3.990729967629061,1.0,38
LPMVZRI,1,-6.101063006857486,9.83305814747705e-08,37
XUDLUSS,0,-1.9589189212388747,0.30487095729374425,1418
XUDLUSS,1,-27.664680954052137,0.0,1416
XUDLERS,0,-3.655406088016026,0.004785971457848375,1413
